sa3,LFSP Labour Force Status,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Not applicable
,15-19 years,134,1759,113,28,403,3526,220,0
,20-24 years,1249,2122,148,126,207,820,244,0
,25-29 years,2220,656,137,88,46,403,214,0
,30-34 years,2376,709,227,92,43,519,265,0
,35-39 years,2783,1107,255,73,45,753,250,0
,40-44 years,3832,1639,193,104,114,899,370,0
,45-49 years,4589,1916,180,122,94,1003,404,0
,50-54 years,4151,1644,200,144,72,966,376,0
,55-59 years,3260,1622,183,120,67,1281,343,0
,60-64 years,1807,1353,165,65,59,2004,305,0
,65-69 years,811,1099,111,18,40,3046,274,0
,70-74 years,245,561,52,6,22,3166,272,0
,75-79 years,80,182,16,5,3,2546,196,0
,80-84 years,14,55,10,0,0,2063,184,0
,85-89 years,0,25,7,0,0,1854,197,0
,90-94 years,6,6,4,0,0,1045,136,0
,95-99 years,4,0,0,0,0,264,40,0
,100 years and over,0,0,0,0,0,31,9,0
20802,0-4 years,0,0,0,0,0,0,0,9079
,5-9 years,0,0,0,0,0,0,0,9435
,10-14 years,0,0,0,0,0,0,0,8572
,15-19 years,157,2159,127,60,555,4859,267,0
,20-24 years,2096,3582,267,287,628,3128,491,0
,25-29 years,5876,2320,360,393,284,1705,620,0
,30-34 years,6714,2090,589,291,154,1347,628,0
,35-39 years,5766,2207,451,205,102,1259,503,0
,40-44 years,6056,2451,257,213,148,1212,474,0
,45-49 years,5839,2617,258,217,130,1206,455,0
,50-54 years,5030,2071,227,220,114,1173,408,0
,55-59 years,4013,1917,239,175,78,1696,374,0
,60-64 years,2359,1672,196,99,97,2556,338,0
,65-69 years,973,1192,108,20,34,3922,318,0
,70-74 years,223,517,52,9,23,3366,250,0
,75-79 years,63,152,23,3,6,3233,266,0
,80-84 years,28,84,14,0,0,2746,221,0
,85-89 years,7,26,14,4,0,2328,216,0
,90-94 years,0,4,7,0,0,1289,132,0
,95-99 years,0,0,0,0,0,314,30,0
,100 years and over,0,0,0,0,0,27,4,0
20803,0-4 years,0,0,0,0,0,0,0,7197
,5-9 years,0,0,0,0,0,0,0,7423
,10-14 years,0,0,0,0,0,0,0,6661
,15-19 years,319,2070,145,91,495,2939,211,0
,20-24 years,2117,2241,203,214,235,947,301,0
,25-29 years,4022,1059,268,204,78,706,389,0
,30-34 years,4496,1324,439,134,69,932,387,0
,35-39 years,4612,1871,396,155,92,1073,443,0
,40-44 years,5130,2235,297,175,120,1011,410,0
,45-49 years,5113,2148,262,193,92,1006,424,0
,50-54 years,4381,1723,220,170,90,1045,352,0
,55-59 years,3442,1564,216,140,81,1414,304,0
,60-64 years,2016,1334,178,84,79,2308,345,0
,65-69 years,687,796,100,23,29,3642,342,0
,70-74 years,157,338,44,4,12,3550,296,0
,75-79 years,38,114,24,0,7,3015,337,0
,80-84 years,12,29,4,0,0,2454,302,0
,85-89 years,0,21,7,0,0,1742,361,0
,90-94 years,0,0,3,0,0,789,187,0
,95-99 years,6,3,0,0,0,174,61,0
,100 years and over,0,0,0,0,0,17,5,0
20804,0-4 years,0,0,0,0,0,0,0,2077
,5-9 years,0,0,0,0,0,0,0,2496
,10-14 years,0,0,0,0,0,0,0,2505
,15-19 years,30,615,39,16,157,1523,82,0
,20-24 years,702,1254,112,71,233,1158,169,0
,25-29 years,1903,623,99,122,86,497,212,0
,30-34 years,1692,477,119,76,39,286,140,0
,35-39 years,1514,529,106,53,26,286,131,0
,40-44 years,1557,571,64,44,32,307,124,0
,45-49 years,1616,658,69,62,30,384,114,0
,50-54 years,1472,550,54,46,28,349,129,0
,55-59 years,1146,498,48,48,20,439,112,0
,60-64 years,678,476,49,24,16,706,87,0
,65-69 years,302,400,28,9,13,1020,94,0
,70-74 years,101,194,16,0,3,1038,77,0
,75-79 years,30,70,8,0,4,991,90,0
,80-84 years,12,22,3,0,0,776,77,0
,85-89 years,4,5,4,0,0,608,62,0
,90-94 years,0,6,0,0,0,302,33,0
,95-99 years,0,0,0,0,0,87,3,0
,100 years and over,0,0,0,0,0,8,0,0
20901,0-4 years,0,0,0,0,0,0,0,7743
,5-9 years,0,0,0,0,0,0,0,7592
,10-14 years,0,0,0,0,0,0,0,6676
,15-19 years,293,2010,127,95,559,3511,239,0
,20-24 years,2164,2648,227,252,337,1478,312,0
,25-29 years,4342,1477,275,262,146,1036,355,0
,30-34 years,4500,1528,496,177,105,1124,426,0
,35-39 years,4411,2015,380,157,112,1166,359,0
