sa3_home,sa3_work,count
,21303,7996
,21304,445
,21305,1473
,21401,32
,21402,12
21304,20601,496
,20602,125
,20603,901
,20604,9704
,20605,2333
,20606,290
,20607,1115
,20701,388
,20702,69
,20703,146
,20801,61
,20802,129
,20803,142
,20804,86
,20901,242
,20902,475
,20903,47
,20904,786
,21001,2932
,21002,345
,21003,387
,21004,473
,21005,3236
,21101,113
,21102,4
,21103,55
,21104,46
,21105,25
,21201,10
,21202,44
,21203,11
,21204,239
,21205,489
,21301,8682
,21302,2529
,21303,2938
,21304,17790
,21305,4823
,21401,31
,21402,8
21305,20601,433
,20602,163
,20603,646
,20604,19898
,20605,5077
,20606,668
,20607,2188
,20701,914
,20702,97
,20703,362
,20801,159
,20802,351
,20803,360
,20804,210
,20901,241
,20902,404
,20903,17
,20904,584
,21001,1615
,21002,45
,21003,242
,21004,71
,21005,2173
,21101,205
,21102,10
,21103,104
,21104,99
,21105,43
,21201,14
,21202,60
,21203,20
,21204,445
,21205,893
,21301,6599
,21302,7217
,21303,3929
,21304,2108
,21305,34858
,21401,45
,21402,31
21401,20601,59
,20602,34
,20603,24
,20604,3478
,20605,1008
,20606,378
,20607,587
,20701,568
,20702,131
,20703,511
,20801,1234
,20802,891
,20803,5799
,20804,327
,20901,77
,20902,65
,20903,18
,20904,77
,21001,63
,21002,0
,21003,23
,21004,4
,21005,120
,21101,1201
,21102,7
,21103,390
,21104,246
,21105,151
,21201,340
,21202,1530
,21203,1752
,21204,7572
,21205,3334
,21301,100
,21302,109
,21303,77
,21304,37
,21305,110
,21401,20692
,21402,5776
21402,20601,52
,20602,45
,20603,31
,20604,2485
,20605,774
,20606,255
,20607,453
,20701,505
,20702,110
,20703,329
,20801,492
,20802,372
,20803,2112
,20804,197
,20901,105
,20902,60
,20903,20
,20904,68
,21001,59
,21002,5
,21003,18
,21004,0
,21005,142
,21101,668
,21102,18
,21103,243
,21104,143
,21105,106
,21201,253
,21202,694
,21203,996
,21204,3597
,21205,1811
,21301,80
,21302,87
,21303,69
,21304,21
,21305,82
,21401,7249
,21402,37114
