"sa1_maincode_2016","sa3","global_pr","sa3_pr"
21401137505,21401,0.000360587872081135,0.0167362601244973
21401137510,21401,0.000242753094674848,0.0112670981280003
21401137515,21401,0.000339570758806076,0.0157607756391004
21401137517,21401,0.000373389078890653,0.0173304130166483
21401137521,21401,0.000335050393299359,0.01555096821396
21401137522,21401,0.00030804534813194,0.0142975609432517
21401137525,21401,0.000308500987430279,0.0143187089030428
21401137527,21401,0.000323271004524801,0.0150042417988402
21401137533,21401,0.000430077644598289,0.0199615458284423
21401137534,21401,0.000389249554862079,0.0180665582730711
21401137535,21401,0.00039612666898264,0.0183857514011241
21401137536,21401,0.000396593956781202,0.0184074400122929
21401137537,21401,0.000387754610251646,0.0179971721849381
21401137539,21401,0.000371407477840973,0.0172384393447691
21401137603,21401,0.00016706638495304,0.00775418890406925
21401137606,21401,0.000180551274626671,0.00838007412873164
21402137701,21402,0.000100546966291306,0.00476594327155595
21402137705,21402,6.62440420211624e-05,0.00313997883771782
21402137711,21402,5.97717340583795e-05,0.00283319034151105
21402137713,21402,9.92919680367019e-05,0.00470645614123303
21402137714,21402,8.92525395096063e-05,0.00423058552470588
21402137716,21402,8.8508020414771e-05,0.00419529519321746
21402137717,21402,8.43716820583615e-05,0.00399923205291849
21402137721,21402,0.000107494785797003,0.00509527109562203
21402137723,21402,8.79558210839271e-05,0.00416912085119138
21402137802,21402,5.3097684192204e-05,0.00251683924483477
21402137803,21402,2.32409271155845e-05,0.00110162389077292
21402137804,21402,9.94708584550385e-06,0.00047149355774315
21402137808,21402,7.20792417692068e-05,0.00341656829638737
21402137809,21402,5.44897347054259e-05,0.00258282267548283
21402137810,21402,4.35892435800417e-05,0.00206613754561858
21402137811,21402,3.08610790563542e-05,0.00146282038639991
21402137812,21402,2.00017085650579e-05,0.000948084381572269
21402137813,21402,5.65869662238931e-05,0.00268223180549453
21402137815,21402,2.22891712275849e-05,0.00105651050010697
21402137816,21402,8.93134826398281e-06,0.00042334742394244
21402137818,21402,1.96326304027825e-05,0.000930590014023889
21402137901,21402,0.000115882599257153,0.00549285487758965
21402137903,21402,0.000117150148463434,0.00555293692515277
21402137904,21402,0.000117787948083839,0.00558316873543597
21402137905,21402,0.000110594709379542,0.00524220799969267
21402137906,21402,0.000107509091993172,0.00509594921174913
21402137907,21402,0.000112022997955891,0.00530990912068491
21402137912,21402,0.000116452075175723,0.00551984813280691
21402137913,21402,0.000114504470933414,0.00542753136108657
21402137914,21402,7.44882437110525e-05,0.00353075539739489
21402137915,21402,2.58887324243844e-05,0.0012271303119145
21402137918,21402,1.90686287364112e-05,0.00090385623929019
21402137920,21402,3.4345775237339e-05,0.00162799557695777
21402137923,21402,5.09539196941218e-05,0.00241522444368965
21402137926,21402,6.88962296050837e-05,0.00326569297944412
21402137933,21402,2.08043302242197e-05,0.000986128784473543
21402137934,21402,1.80469475203493e-05,0.000855428376203222
21402137935,21402,5.64031159793046e-05,0.00267351727268971
21402137938,21402,1.85969618733657e-05,0.000881499149909344
21402137939,21402,2.10998980869409e-05,0.00100013875134358
21402137941,21402,2.08882312986407e-05,0.000990105709644558
21402137943,21402,0.000115145771603646,0.00545792912172593
21402137947,21402,0.00010634177957264,0.00504061840484721
